gene_id,Entrez_Gene_Id,Hugo_Symbol
12630,,CTD-2001E22.1
8988,,CTD-2008A1.2
14618,,CTD-2014N11.1
18215,,CTD-2015A6.2
17792,,CTD-2015B23.2
16504,,CTD-2026G22.1
18194,,CTD-2104P17.1
15205,,CTD-2116F7.1
10561,,CTD-2127H9.1
18519,,CTD-2132H18.3
7454,,CTD-2140G10.2
10172,,CTD-2143L24.1
14130,,CTD-2144E22.10
18112,,CTD-2144E22.2
16598,,CTD-2192J16.15
7945,,CTD-2201E18.3
10242,,CTD-2210P24.6
9499,,CTD-2218G20.1
10472,,CTD-2251F13.1
18455,,CTD-2267D19.3
12005,,CTD-2269E23.2
11386,,CTD-2272G21.2
13706,,CTD-2287O16.3
17875,,CTD-2302E22.1
18187,,CTD-2306M5.1
10380,,CTD-2307P3.1
15189,,CTD-2313N18.8
18175,,CTD-2314B22.3
